YEAR,STATE,AGE.NEW,POP_TOT,POP_CIT,VOTES_TOT,VRATE.TOT,VRATE.CIT,state.abb
Y2012,alabama,AB1_18_24,439,428,155,35.31,36.21,AL
Y2012,alabama,AB2_25+,3155,3052,1999,63.36,65.5,AL
Y2012,alaska,AB1_18_24,63,61,20,31.75,32.79,AK
Y2012,alaska,AB2_25+,453,434,269,59.38,61.98,AK
Y2012,arizona,AB1_18_24,586,545,234,39.93,42.94,AZ
Y2012,arizona,AB2_25+,4277,3770,2178,50.92,57.77,AZ
Y2012,arkansas,AB1_18_24,288,281,70,24.31,24.91,AR
Y2012,arkansas,AB2_25+,1910,1829,1054,55.18,57.63,AR
Y2012,california,AB1_18_24,3962,3479,1447,36.52,41.59,CA
Y2012,california,AB2_25+,24396,19939,12016,49.25,60.26,CA
Y2012,colorado,AB1_18_24,493,461,259,52.54,56.18,CO
Y2012,colorado,AB2_25+,3324,3082,2236,67.27,72.55,CO
Y2012,connecticut,AB1_18_24,333,308,123,36.94,39.94,CT
Y2012,connecticut,AB2_25+,2393,2192,1446,60.43,65.97,CT
Y2012,delaware,AB1_18_24,82,77,33,40.24,42.86,DE
Y2012,delaware,AB2_25+,611,565,397,64.98,70.27,DE
Y2012,florida,AB1_18_24,1669,1467,614,36.79,41.85,FL
Y2012,florida,AB2_25+,13364,11859,7493,56.07,63.18,FL
Y2012,georgia,AB1_18_24,920,867,349,37.93,40.25,GA
Y2012,georgia,AB2_25+,6258,5871,3819,61.03,65.05,GA
Y2012,hawaii,AB1_18_24,107,91,24,22.43,26.37,HI
Y2012,hawaii,AB2_25+,905,839,457,50.5,54.47,HI
Y2012,idaho,AB1_18_24,130,121,39,30,32.23,ID
Y2012,idaho,AB2_25+,999,943,641,64.16,67.97,ID
Y2012,illinois,AB1_18_24,1228,1122,396,32.25,35.29,IL
Y2012,illinois,AB2_25+,8422,7709,5032,59.75,65.27,IL
Y2012,indiana,AB1_18_24,570,558,203,35.61,36.38,IN
Y2012,indiana,AB2_25+,4283,4166,2598,60.66,62.36,IN
Y2012,iowa,AB1_18_24,260,243,121,46.54,49.79,IA
Y2012,iowa,AB2_25+,2059,1989,1427,69.31,71.74,IA
Y2012,kansas,AB1_18_24,294,262,88,29.93,33.59,KS
Y2012,kansas,AB2_25+,1826,1712,1161,63.58,67.82,KS
Y2012,kentucky,AB1_18_24,446,437,165,37,37.76,KY
Y2012,kentucky,AB2_25+,2846,2756,1730,60.79,62.77,KY
Y2012,louisiana,AB1_18_24,431,415,174,40.37,41.93,LA
Y2012,louisiana,AB2_25+,2889,2824,1975,68.36,69.94,LA
Y2012,maine,AB1_18_24,118,118,50,42.37,42.37,ME
Y2012,maine,AB2_25+,923,902,649,70.31,71.95,ME
Y2012,maryland,AB1_18_24,585,558,246,42.05,44.09,MD
Y2012,maryland,AB2_25+,3864,3448,2364,61.18,68.56,MD
Y2012,massachusetts,AB1_18_24,694,633,316,45.53,49.92,MA
Y2012,massachusetts,AB2_25+,4476,4140,3066,68.5,74.06,MA
Y2012,michigan,AB1_18_24,905,894,394,43.54,44.07,MI
Y2012,michigan,AB2_25+,6591,6334,4437,67.32,70.05,MI
Y2012,minnesota,AB1_18_24,531,510,303,57.06,59.41,MN
Y2012,minnesota,AB2_25+,3523,3393,2556,72.55,75.33,MN
Y2012,mississippi,AB1_18_24,300,294,187,62.33,63.61,MS
Y2012,mississippi,AB2_25+,1867,1836,1401,75.04,76.31,MS
Y2012,missouri,AB1_18_24,525,520,223,42.48,42.88,MO
Y2012,missouri,AB2_25+,3995,3889,2595,64.96,66.73,MO
Y2012,montana,AB1_18_24,82,79,33,40.24,41.77,MT
Y2012,montana,AB2_25+,687,675,462,67.25,68.44,MT
Y2012,nebraska,AB1_18_24,168,151,61,36.31,40.4,NE
Y2012,nebraska,AB2_25+,1203,1146,738,61.35,64.4,NE
Y2012,nevada,AB1_18_24,320,295,122,38.12,41.36,NV
Y2012,nevada,AB2_25+,1720,1513,926,53.84,61.2,NV
