STATE,AGE,POP_TOT,POP_CIT,VOTES_TOT,VRATE_TOT,VRATE_CIT
UNITED STATES,TOTAL,"239,874","219,941","92,251",38.5,41.9
UNITED STATES,AG1_18_24,"29,658","27,539","4,721",15.9,17.1
UNITED STATES,AG2_25_34,"42,321","37,061","10,223",24.2,27.6
UNITED STATES,AG3_35_44,"39,565","34,334","12,986",32.8,37.8
UNITED STATES,AG4_45_64,"82,772","76,882","38,111",46.0,49.6
UNITED STATES,AG5_65+,"45,558","44,125","26,210",57.5,59.4
ALABAMA,TOTAL,"3,656","3,519","1,497",40.9,42.5
ALABAMA,AG1_18_24,482,449,77,16.1,17.2
ALABAMA,AG2_25_34,555,519,155,27.9,29.9
ALABAMA,AG3_35_44,610,566,244,40.0,43.2
ALABAMA,AG4_45_64,"1,298","1,277",630,48.5,49.3
ALABAMA,AG5_65+,710,708,390,54.9,55.1
ALASKA,TOTAL,521,503,255,49.0,50.7
ALASKA,AG1_18_24,76,74,19,,
ALASKA,AG2_25_34,111,107,46,41.3,42.9
ALASKA,AG3_35_44,78,75,34,,
ALASKA,AG4_45_64,189,184,113,59.8,61.6
ALASKA,AG5_65+,66,64,43,,
ARIZONA,TOTAL,"4,994","4,397","1,785",35.7,40.6
ARIZONA,AG1_18_24,514,491,74,14.4,15.1
ARIZONA,AG2_25_34,859,735,170,19.8,23.1
ARIZONA,AG3_35_44,948,760,245,25.8,32.2
ARIZONA,AG4_45_64,"1,725","1,526",710,41.1,46.5
ARIZONA,AG5_65+,947,885,587,61.9,66.3
ARKANSAS,TOTAL,"2,189","2,057",798,36.5,38.8
ARKANSAS,AG1_18_24,242,230,36,14.7,15.5
ARKANSAS,AG2_25_34,388,347,76,19.6,21.9
ARKANSAS,AG3_35_44,352,313,127,36.2,40.8
ARKANSAS,AG4_45_64,797,767,341,42.8,44.5
ARKANSAS,AG5_65+,410,401,218,53.1,54.4
CALIFORNIA,TOTAL,"29,030","24,455","8,949",30.8,36.6
CALIFORNIA,AG1_18_24,"4,129","3,708",591,14.3,15.9
CALIFORNIA,AG2_25_34,"5,288","4,242",917,17.3,21.6
CALIFORNIA,AG3_35_44,"5,025","3,845","1,172",23.3,30.5
CALIFORNIA,AG4_45_64,"9,672","8,163","3,712",38.4,45.5
CALIFORNIA,AG5_65+,"4,916","4,498","2,558",52.0,56.9
COLORADO,TOTAL,"4,009","3,732","2,211",55.2,59.3
COLORADO,AG1_18_24,374,347,64,17.1,18.4
COLORADO,AG2_25_34,853,795,368,43.1,46.3
COLORADO,AG3_35_44,743,658,386,51.9,58.6
COLORADO,AG4_45_64,"1,317","1,217",833,63.3,68.4
COLORADO,AG5_65+,722,715,561,77.6,78.5
CONNECTICUT,TOTAL,"2,783","2,560","1,195",43.0,46.7
CONNECTICUT,AG1_18_24,319,280,56,17.7,20.1
CONNECTICUT,AG2_25_34,434,387,118,27.2,30.5
CONNECTICUT,AG3_35_44,451,391,150,33.2,38.3
CONNECTICUT,AG4_45_64,"1,047",991,556,53.1,56.1
CONNECTICUT,AG5_65+,531,511,315,59.4,61.7
DELAWARE,TOTAL,712,661,299,42.0,45.2
DELAWARE,AG1_18_24,78,72,12,,
DELAWARE,AG2_25_34,120,103,31,25.9,30.3
DELAWARE,AG3_35_44,111,97,36,32.1,36.6
DELAWARE,AG4_45_64,246,237,123,50.1,52.1
DELAWARE,AG5_65+,157,152,97,62.0,63.7
DISTRICT OF COLUMBIA,TOTAL,538,480,247,45.8,51.4
DELAWARE,AG1_18_24,69,62,17,,
DELAWARE,AG2_25_34,168,142,62,36.8,43.4
DELAWARE,AG3_35_44,82,67,35,,
DELAWARE,AG4_45_64,139,130,81,58.0,62.0
DELAWARE,AG5_65+,80,78,52,64.9,66.6
FLORIDA,TOTAL,"15,414","13,879","6,220",40.4,44.8
FLORIDA,AG1_18_24,"1,406","1,301",229,16.3,17.6
FLORIDA,AG2_25_34,"2,372","2,047",613,25.8,30.0
FLORIDA,AG3_35_44,"2,634","2,269",812,30.8,35.8
FLORIDA,AG4_45_64,"5,221","4,640","2,395",45.9,51.6
FLORIDA,AG5_65+,"3,781","3,621","2,171",57.4,60.0
GEORGIA,TOTAL,"7,306","6,759","2,919",40.0,43.2
GEORGIA,AG1_18_24,975,895,201,20.6,22.4
GEORGIA,AG2_25_34,"1,204","1,039",334,27.7,32.2
GEORGIA,AG3_35_44,"1,353","1,230",541,40.0,44.0
GEORGIA,AG4_45_64,"2,624","2,469","1,160",44.2,47.0
GEORGIA,AG5_65+,"1,151","1,126",684,59.4,60.7
HAWAII,TOTAL,"1,035",956,399,38.6,41.8
HAWAII,AG1_18_24,133,125,11,8.2,8.7
