STATE,AGE,POP_TOT,POP_CIT,VOTES_TOT,VRATE_TOT,VRATE_CIT
US,TOTAL,"245,502","224,059","137,537",56.0,61.4
US,AG1_18_24,"29,320","26,913","11,560",39.4,43.0
US,AG2_25_34,"43,794","38,283","20,332",46.4,53.1
US,AG3_35_44,"39,905","34,327","20,662",51.8,60.2
US,AG4_45_64,"83,799","77,544","51,668",61.7,66.6
US,AG5_65+,"48,684","46,993","33,314",68.4,70.9
ALABAMA,TOTAL,"3,717","3,651","2,095",56.4,57.4
ALABAMA,AG1_18_24,513,497,212,41.4,42.7
ALABAMA,AG2_25_34,583,568,310,53.1,54.5
ALABAMA,AG3_35_44,566,548,306,54.0,55.8
ALABAMA,AG4_45_64,"1,293","1,280",761,58.8,59.4
ALABAMA,AG5_65+,761,758,507,66.5,66.9
ALASKA,TOTAL,518,502,308,59.4,61.3
ALASKA,AG1_18_24,65,65,26,(B),(B)
ALASKA,AG2_25_34,113,109,58,51.0,52.7
ALASKA,AG3_35_44,83,79,48,(B),(B)
ALASKA,AG4_45_64,180,174,122,67.9,70.2
ALASKA,AG5_65+,77,75,54,(B),(B)
ARIZONA,TOTAL,"5,196","4,585","2,769",53.3,60.4
ARIZONA,AG1_18_24,735,654,263,35.8,40.2
ARIZONA,AG2_25_34,854,729,377,44.1,51.7
ARIZONA,AG3_35_44,776,663,349,45.0,52.6
ARIZONA,AG4_45_64,"1,736","1,510","1,038",59.8,68.7
ARIZONA,AG5_65+,"1,096","1,028",743,67.8,72.2
ARKANSAS,TOTAL,"2,216","2,116","1,241",56.0,58.7
ARKANSAS,AG1_18_24,187,180,62,33.1,34.5
ARKANSAS,AG2_25_34,409,367,173,42.3,47.1
ARKANSAS,AG3_35_44,387,362,211,54.5,58.3
ARKANSAS,AG4_45_64,716,697,452,63.1,64.8
ARKANSAS,AG5_65+,516,510,343,66.6,67.3
CALIFORNIA,TOTAL,"29,894","24,890","14,416",48.2,57.9
CALIFORNIA,AG1_18_24,"3,760","3,308","1,411",37.5,42.7
CALIFORNIA,AG2_25_34,"5,742","4,579","2,379",41.4,51.9
CALIFORNIA,AG3_35_44,"5,145","3,797","2,074",40.3,54.6
CALIFORNIA,AG4_45_64,"9,835","8,252","5,124",52.1,62.1
CALIFORNIA,AG5_65+,"5,412","4,955","3,429",63.4,69.2
COLORADO,TOTAL,"4,242","3,895","2,707",63.8,69.5
COLORADO,AG1_18_24,410,361,177,43.1,49.0
COLORADO,AG2_25_34,922,851,535,58.0,62.9
COLORADO,AG3_35_44,774,683,514,66.5,75.3
COLORADO,AG4_45_64,"1,342","1,243",867,64.6,69.7
COLORADO,AG5_65+,794,757,614,77.3,81.1
CONNECTICUT,TOTAL,"2,759","2,483","1,586",57.5,63.9
CONNECTICUT,AG1_18_24,263,225,97,37.0,43.3
CONNECTICUT,AG2_25_34,505,425,244,48.4,57.5
CONNECTICUT,AG3_35_44,397,347,208,52.5,60.1
CONNECTICUT,AG4_45_64,"1,034",943,636,61.5,67.4
CONNECTICUT,AG5_65+,560,544,400,71.4,73.6
DELAWARE,TOTAL,729,669,417,57.2,62.3
DELAWARE,AG1_18_24,82,69,29,(B),(B)
DELAWARE,AG2_25_34,110,91,48,(B),(B)
DELAWARE,AG3_35_44,115,102,62,54.0,61.1
DELAWARE,AG4_45_64,253,242,162,64.1,66.8
DELAWARE,AG5_65+,169,164,116,68.7,70.5
DISTRICT OF COLUMBIA,TOTAL,553,512,380,68.7,74.3
DISTRICT OF COLUMBIA,AG1_18_24,59,55,34,(B),(B)
DISTRICT OF COLUMBIA,AG2_25_34,179,164,120,67.1,73.3
DISTRICT OF COLUMBIA,AG3_35_44,91,80,64,(B),(B)
DISTRICT OF COLUMBIA,AG4_45_64,139,131,99,71.4,75.7
DISTRICT OF COLUMBIA,AG5_65+,86,82,63,(B),(B)
FLORIDA,TOTAL,"16,202","14,428","8,578",52.9,59.5
FLORIDA,AG1_18_24,"1,589","1,413",527,33.1,37.3
FLORIDA,AG2_25_34,"2,582","2,245","1,157",44.8,51.6
FLORIDA,AG3_35_44,"2,505","1,985","1,144",45.7,57.6
FLORIDA,AG4_45_64,"5,661","5,091","3,171",56.0,62.3
FLORIDA,AG5_65+,"3,865","3,694","2,578",66.7,69.8
GEORGIA,TOTAL,"7,626","7,048","4,246",55.7,60.2
GEORGIA,AG1_18_24,991,923,401,40.5,43.5
GEORGIA,AG2_25_34,"1,316","1,119",609,46.3,54.4
GEORGIA,AG3_35_44,"1,352","1,211",672,49.7,55.5
