STATE,AGE,POP_TOT,POP_CIT,VOTES_TOT,VRATE_TOT,VRATE_CIT
US,TOTAL,"235,248","215,081","132,948",56.5,61.8
US,AG1_18_24,"29,878","27,535","11,353",38.0,41.2
US,AG2_25_34,"41,146","35,473","18,977",46.1,53.5
US,AG3_35_44,"39,624","34,265","20,965",52.9,61.2
US,AG4_45_64,"82,087","76,639","52,013",63.4,67.9
US,AG5_65+,"42,514","41,169","29,641",69.7,72.0
ALABAMA,TOTAL,"3,594","3,479","2,154",59.9,61.9
ALABAMA,AG1_18_24,439,428,155,35.3,36.2
ALABAMA,AG2_25_34,576,535,271,47.0,50.6
ALABAMA,AG3_35_44,615,582,330,53.7,56.8
ALABAMA,AG4_45_64,"1,297","1,275",939,72.4,73.7
ALABAMA,AG5_65+,667,660,459,68.8,69.5
ALASKA,TOTAL,516,495,289,56.0,58.4
ALASKA,AG1_18_24,63,61,20,,32.5
ALASKA,AG2_25_34,109,103,46,42.6,45.0
ALASKA,AG3_35_44,86,80,50,58.6,62.9
ALASKA,AG4_45_64,186,182,122,65.7,67.1
ALASKA,AG5_65+,72,69,51,,73.2
ARIZONA,TOTAL,"4,863","4,314","2,412",49.6,55.9
ARIZONA,AG1_18_24,586,545,234,40.0,43.0
ARIZONA,AG2_25_34,859,709,289,33.7,40.8
ARIZONA,AG3_35_44,870,713,382,43.9,53.6
ARIZONA,AG4_45_64,"1,656","1,502",901,54.4,60.0
ARIZONA,AG5_65+,892,846,606,67.9,71.7
ARKANSAS,TOTAL,"2,198","2,109","1,124",51.1,53.3
ARKANSAS,AG1_18_24,288,281,70,24.3,24.8
ARKANSAS,AG2_25_34,362,336,140,38.6,41.6
ARKANSAS,AG3_35_44,357,341,205,57.5,60.3
ARKANSAS,AG4_45_64,742,704,442,59.6,62.8
ARKANSAS,AG5_65+,449,448,267,59.4,59.6
CALIFORNIA,TOTAL,"28,357","23,419","13,462",47.5,57.5
CALIFORNIA,AG1_18_24,"3,962","3,479","1,447",36.5,41.6
CALIFORNIA,AG2_25_34,"5,357","4,153","2,070",38.6,49.8
CALIFORNIA,AG3_35_44,"5,030","3,675","2,118",42.1,57.6
